#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
796	0.62333	0.056100	0.00000	0.000000	374	0	374	56100
75	0.31667	0.028500	0.00000	0.000000	190	0	190	28500
611	0.31333	0.028200	0.00000	0.000000	188	0	188	28200
303	0.30167	0.027150	0.00000	0.000000	181	0	184	27600
195	0.30000	0.027000	0.00000	0.000000	180	0	180	27000
639	0.29833	0.026850	0.00000	0.000000	179	0	180	27000
801	0.29333	0.026400	0.00000	0.000000	176	0	176	26400
617	0.29333	0.026400	0.00000	0.000000	176	0	176	26400
813	0.29000	0.026100	0.00000	0.000000	174	0	174	26100
760	0.29000	0.026100	0.00000	0.000000	174	0	174	26100
847	0.27667	0.024900	0.00000	0.000000	166	0	166	24900
105	0.27667	0.024900	0.00000	0.000000	166	0	166	24900
775	0.27333	0.024600	0.00000	0.000000	164	0	164	24600
25	0.26667	0.024000	0.00000	0.000000	160	0	160	24000
828	0.25333	0.022800	0.00000	0.000000	152	0	152	22800
201	0.25333	0.022800	0.00000	0.000000	152	0	152	22800
382	0.25000	0.022500	0.00000	0.000000	150	0	150	22500
357	0.24333	0.021900	0.00000	0.000000	146	0	146	21900
944	0.24000	0.021600	0.00000	0.000000	144	0	144	21600
788	0.23833	0.021450	0.00000	0.000000	143	0	144	21600
484	0.23667	0.021300	0.00000	0.000000	142	0	142	21300
892	0.23333	0.021000	0.00000	0.000000	140	0	140	21000
589	0.23333	0.021000	0.00000	0.000000	140	0	140	21000
157	0.23333	0.021000	0.00000	0.000000	140	0	140	21000
748	0.23000	0.020700	0.00000	0.000000	138	0	138	20700
31	0.23000	0.020700	0.00000	0.000000	138	0	138	20700
996	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
910	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
846	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
823	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
125	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
698	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
336	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
797	0.21667	0.019500	0.00000	0.000000	130	0	130	19500
792	0.21667	0.019500	0.00000	0.000000	130	0	132	19800
98	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
826	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
599	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
539	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
432	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
275	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
519	0.21000	0.018900	0.00000	0.000000	126	0	126	18900
34	0.21000	0.018900	0.00000	0.000000	126	0	126	18900
282	0.21000	0.018900	0.00000	0.000000	126	0	126	18900
904	0.20667	0.018600	0.00000	0.000000	124	0	124	18600
986	0.20333	0.018300	0.00000	0.000000	122	0	122	18300
752	0.20333	0.018300	0.00000	0.000000	122	0	122	18300
359	0.20333	0.018300	0.00000	0.000000	122	0	122	18300
