read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
Read000000000,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000001,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000002,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000003,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000004,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000005,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000006,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000007,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000008,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000009,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000010,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000011,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000012,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000013,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000014,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000015,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000016,499,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000017,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000018,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000019,499,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000020,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000021,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000022,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000023,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000024,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000025,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000026,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000027,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000028,500,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000029,500,1,1,108,108,150,108,108,0,1.0,mapped_high
