#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
998	0.10560	0.000108	0.00000	0.000000	1	0	1	108
997	0.10560	0.000108	0.00000	0.000000	1	0	1	108
996	0.10560	0.000108	0.00000	0.000000	1	0	1	108
995	0.10560	0.000107	0.00000	0.000000	1	0	1	107
994	0.10560	0.000108	0.00000	0.000000	1	0	1	108
992	0.10560	0.000108	0.00000	0.000000	1	0	1	108
991	0.10560	0.000108	0.00000	0.000000	1	0	1	108
990	0.10560	0.000108	0.00000	0.000000	1	0	1	108
99	0.10560	0.000108	0.00000	0.000000	1	0	1	108
989	0.10560	0.000108	0.00000	0.000000	1	0	1	108
988	0.10560	0.000108	0.00000	0.000000	1	0	1	108
987	0.10560	0.000108	0.00000	0.000000	1	0	1	108
986	0.10560	0.000108	0.00000	0.000000	1	0	1	108
985	0.10560	0.000108	0.00000	0.000000	1	0	1	108
984	0.10560	0.000108	0.00000	0.000000	1	0	1	108
982	0.10560	0.000108	0.00000	0.000000	1	0	1	108
981	0.10560	0.000108	0.00000	0.000000	1	0	1	108
980	0.10560	0.000108	0.00000	0.000000	1	0	1	108
98	0.10560	0.000107	0.00000	0.000000	1	0	1	107
979	0.10560	0.000104	0.00000	0.000000	1	0	1	104
978	0.10560	0.000108	0.00000	0.000000	1	0	1	108
977	0.10560	0.000108	0.00000	0.000000	1	0	1	108
976	0.10560	0.000108	0.00000	0.000000	1	0	1	108
975	0.10560	0.000108	0.00000	0.000000	1	0	1	108
974	0.10560	0.000108	0.00000	0.000000	1	0	1	108
973	0.10560	0.000108	0.00000	0.000000	1	0	1	108
972	0.10560	0.000105	0.00000	0.000000	1	0	1	105
971	0.10560	0.000108	0.00000	0.000000	1	0	1	108
970	0.10560	0.000108	0.00000	0.000000	1	0	1	108
97	0.10560	0.000108	0.00000	0.000000	1	0	1	108
969	0.10560	0.000108	0.00000	0.000000	1	0	1	108
968	0.10560	0.000108	0.00000	0.000000	1	0	1	108
967	0.10560	0.000108	0.00000	0.000000	1	0	1	108
966	0.10560	0.000108	0.00000	0.000000	1	0	1	108
965	0.10560	0.000108	0.00000	0.000000	1	0	1	108
964	0.10560	0.000108	0.00000	0.000000	1	0	1	108
963	0.10560	0.000108	0.00000	0.000000	1	0	1	108
962	0.10560	0.000108	0.00000	0.000000	1	0	1	108
961	0.10560	0.000108	0.00000	0.000000	1	0	1	108
960	0.10560	0.000108	0.00000	0.000000	1	0	1	108
96	0.10560	0.000108	0.00000	0.000000	1	0	1	108
959	0.10560	0.000107	0.00000	0.000000	1	0	1	107
958	0.10560	0.000108	0.00000	0.000000	1	0	1	108
957	0.10560	0.000108	0.00000	0.000000	1	0	1	108
956	0.10560	0.000108	0.00000	0.000000	1	0	1	108
954	0.10560	0.000108	0.00000	0.000000	1	0	1	108
953	0.10560	0.000108	0.00000	0.000000	1	0	1	108
952	0.10560	0.000108	0.00000	0.000000	1	0	1	108
951	0.10560	0.000108	0.00000	0.000000	1	0	1	108
950	0.10560	0.000108	0.00000	0.000000	1	0	1	108
95	0.10560	0.000108	0.00000	0.000000	1	0	1	108
949	0.10560	0.000108	0.00000	0.000000	1	0	1	108
948	0.10560	0.000108	0.00000	0.000000	1	0	1	108
947	0.10560	0.000108	0.00000	0.000000	1	0	1	108
946	0.10560	0.000108	0.00000	0.000000	1	0	1	108
945	0.10560	0.000108	0.00000	0.000000	1	0	1	108
944	0.10560	0.000108	0.00000	0.000000	1	0	1	108
943	0.10560	0.000108	0.00000	0.000000	1	0	1	108
942	0.10560	0.000108	0.00000	0.000000	1	0	1	108
941	0.10560	0.000107	0.00000	0.000000	1	0	1	107
940	0.10560	0.000108	0.00000	0.000000	1	0	1	108
94	0.10560	0.000108	0.00000	0.000000	1	0	1	108
939	0.10560	0.000108	0.00000	0.000000	1	0	1	108
938	0.10560	0.000108	0.00000	0.000000	1	0	1	108
937	0.10560	0.000108	0.00000	0.000000	1	0	1	108
936	0.10560	0.000108	0.00000	0.000000	1	0	1	108
935	0.10560	0.000106	0.00000	0.000000	1	0	1	106
934	0.10560	0.000094	0.00000	0.000000	1	0	1	94
933	0.10560	0.000108	0.00000	0.000000	1	0	1	108
932	0.10560	0.000108	0.00000	0.000000	1	0	1	108
931	0.10560	0.000108	0.00000	0.000000	1	0	1	108
930	0.10560	0.000108	0.00000	0.000000	1	0	1	108
93	0.10560	0.000108	0.00000	0.000000	1	0	1	108
929	0.10560	0.000108	0.00000	0.000000	1	0	1	108
928	0.10560	0.000108	0.00000	0.000000	1	0	1	108
927	0.10560	0.000108	0.00000	0.000000	1	0	1	108
926	0.10560	0.000108	0.00000	0.000000	1	0	1	108
925	0.10560	0.000108	0.00000	0.000000	1	0	1	108
923	0.10560	0.000107	0.00000	0.000000	1	0	1	107
922	0.10560	0.000108	0.00000	0.000000	1	0	1	108
921	0.10560	0.000108	0.00000	0.000000	1	0	1	108
920	0.10560	0.000108	0.00000	0.000000	1	0	1	108
92	0.10560	0.000108	0.00000	0.000000	1	0	1	108
919	0.10560	0.000108	0.00000	0.000000	1	0	1	108
918	0.10560	0.000108	0.00000	0.000000	1	0	1	108
917	0.10560	0.000108	0.00000	0.000000	1	0	1	108
916	0.10560	0.000108	0.00000	0.000000	1	0	1	108
915	0.10560	0.000108	0.00000	0.000000	1	0	1	108
914	0.10560	0.000108	0.00000	0.000000	1	0	1	108
913	0.10560	0.000107	0.00000	0.000000	1	0	1	107
912	0.10560	0.000108	0.00000	0.000000	1	0	1	108
911	0.10560	0.000108	0.00000	0.000000	1	0	1	108
910	0.10560	0.000108	0.00000	0.000000	1	0	1	108
91	0.10560	0.000108	0.00000	0.000000	1	0	1	108
909	0.10560	0.000108	0.00000	0.000000	1	0	1	108
908	0.10560	0.000108	0.00000	0.000000	1	0	1	108
907	0.10560	0.000108	0.00000	0.000000	1	0	1	108
906	0.10560	0.000108	0.00000	0.000000	1	0	1	108
905	0.10560	0.000108	0.00000	0.000000	1	0	1	108
