read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
read401,928,1,1,108,108,108,108,108,0,1.0,mapped_high
read402,929,1,1,108,108,108,108,108,0,1.0,mapped_high
read403,930,1,1,108,108,108,108,108,0,1.0,mapped_high
read404,931,1,1,108,108,108,108,108,0,1.0,mapped_high
read405,932,1,1,108,108,108,108,108,0,1.0,mapped_high
read406,933,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read407,934,1,1,108,108,94,94,94,14,0.8703703703703703,mapped_high
read408,936,1,1,108,108,108,108,108,0,1.0,mapped_high
read409,937,1,1,108,108,108,108,108,0,1.0,mapped_high
read410,939,1,1,108,108,108,108,108,0,1.0,mapped_high
read411,940,1,1,108,108,108,108,108,0,1.0,mapped_high
read412,942,1,1,108,108,108,108,108,0,1.0,mapped_high
read413,943,1,1,108,108,108,108,108,0,1.0,mapped_high
read414,944,1,1,108,108,108,108,108,2,0.9814814814814815,mapped_high
read415,945,1,1,108,108,108,108,108,0,1.0,mapped_high
read416,946,1,1,108,108,108,108,108,0,1.0,mapped_high
read417,947,1,1,108,108,108,108,108,0,1.0,mapped_high
read418,948,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read419,949,1,1,108,108,108,108,108,0,1.0,mapped_high
read420,950,1,1,108,108,108,108,108,0,1.0,mapped_high
read421,951,1,1,108,108,108,108,108,0,1.0,mapped_high
read422,952,1,1,108,108,108,108,108,0,1.0,mapped_high
read423,953,1,1,108,108,108,108,108,0,1.0,mapped_high
read424,954,1,1,108,108,108,108,108,0,1.0,mapped_high
read425,956,1,1,108,108,108,108,108,0,1.0,mapped_high
read426,957,1,1,108,108,108,108,108,0,1.0,mapped_high
read427,958,1,1,108,108,108,108,108,0,1.0,mapped_high
read428,960,1,1,108,108,108,108,108,0,1.0,mapped_high
read429,961,1,1,108,108,108,108,108,0,1.0,mapped_high
read430,962,1,1,108,108,108,108,108,0,1.0,mapped_high
read431,963,1,1,108,108,108,108,108,0,1.0,mapped_high
read432,964,1,1,108,108,108,108,108,0,1.0,mapped_high
read433,965,1,1,108,108,108,108,108,0,1.0,mapped_high
read434,966,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read435,967,1,1,108,108,108,108,108,0,1.0,mapped_high
read436,968,1,1,108,108,108,108,108,0,1.0,mapped_high
read437,969,1,1,108,108,108,108,108,0,1.0,mapped_high
read438,970,1,1,108,108,108,108,108,0,1.0,mapped_high
read439,971,1,1,108,108,108,108,108,0,1.0,mapped_high
read440,973,1,1,108,108,108,108,108,0,1.0,mapped_high
