#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
930	2.17667	0.097950	0.00000	0.000000	653	0	653	97950
264	1.64667	0.074100	0.00000	0.000000	494	0	494	74100
787	1.03000	0.046350	0.00000	0.000000	309	0	309	46350
197	1.01000	0.045450	0.00000	0.000000	303	0	303	45450
466	0.92667	0.041700	0.00000	0.000000	278	0	278	41700
213	0.78667	0.035400	0.00000	0.000000	236	0	236	35400
290	0.75000	0.033750	0.00000	0.000000	225	0	225	33750
526	0.73333	0.033000	0.00000	0.000000	220	0	220	33000
518	0.70333	0.031650	0.00000	0.000000	211	0	211	31650
43	0.70000	0.031500	0.00000	0.000000	210	0	210	31500
203	0.65667	0.029550	0.00000	0.000000	197	0	197	29550
750	0.61667	0.027750	0.00000	0.000000	185	0	185	27750
59	0.60333	0.027150	0.00000	0.000000	181	0	181	27150
113	0.59667	0.026850	0.00000	0.000000	179	0	179	26850
100	0.57667	0.025950	0.00000	0.000000	173	0	173	25950
782	0.55000	0.024750	0.00000	0.000000	165	0	165	24750
222	0.54667	0.024600	0.00000	0.000000	164	0	164	24600
187	0.54667	0.024600	0.00000	0.000000	164	0	164	24600
546	0.54333	0.024450	0.00000	0.000000	163	0	163	24450
174	0.54333	0.024450	0.00000	0.000000	163	0	163	24450
418	0.52333	0.023550	0.00000	0.000000	157	0	157	23550
542	0.50333	0.022650	0.00000	0.000000	151	0	151	22650
514	0.48333	0.021750	0.00000	0.000000	145	0	145	21750
424	0.47667	0.021450	0.00000	0.000000	143	0	143	21450
574	0.45333	0.020400	0.00000	0.000000	136	0	136	20400
328	0.45000	0.020250	0.00000	0.000000	135	0	135	20250
351	0.43333	0.019500	0.00000	0.000000	130	0	130	19500
495	0.42333	0.019050	0.00000	0.000000	127	0	127	19050
368	0.41667	0.018750	0.00000	0.000000	125	0	125	18750
606	0.40333	0.018150	0.00000	0.000000	121	0	121	18150
885	0.39667	0.017850	0.00000	0.000000	119	0	119	17850
687	0.37667	0.016950	0.00000	0.000000	113	0	113	16950
792	0.37000	0.016650	0.00000	0.000000	111	0	111	16650
272	0.37000	0.016650	0.00000	0.000000	111	0	111	16650
162	0.36333	0.016350	0.00000	0.000000	109	0	109	16350
818	0.35333	0.015900	0.00000	0.000000	106	0	106	15900
964	0.34667	0.015600	0.00000	0.000000	104	0	104	15600
516	0.34333	0.015450	0.00000	0.000000	103	0	103	15450
249	0.34333	0.015450	0.00000	0.000000	103	0	103	15450
412	0.33667	0.015150	0.00000	0.000000	101	0	101	15150
381	0.33667	0.015150	0.00000	0.000000	101	0	101	15150
490	0.33333	0.015000	0.00000	0.000000	100	0	100	15000
709	0.33000	0.014850	0.00000	0.000000	99	0	99	14850
897	0.32667	0.014700	0.00000	0.000000	98	0	98	14700
258	0.31667	0.014250	0.00000	0.000000	95	0	95	14250
299	0.31000	0.013950	0.00000	0.000000	93	0	93	13950
283	0.31000	0.013950	0.00000	0.000000	93	0	93	13950
903	0.30333	0.013650	0.00000	0.000000	91	0	91	13650
853	0.30000	0.013500	0.00000	0.000000	90	0	90	13500
266	0.29667	0.013350	0.00000	0.000000	89	0	89	13350
808	0.29333	0.013200	0.00000	0.000000	88	0	88	13200
536	0.29333	0.013200	0.00000	0.000000	88	0	88	13200
6	0.29000	0.013050	0.00000	0.000000	87	0	87	13050
199	0.29000	0.013050	0.00000	0.000000	87	0	87	13050
683	0.28333	0.012750	0.00000	0.000000	85	0	85	12750
314	0.28333	0.012750	0.00000	0.000000	85	0	85	12750
968	0.28000	0.012600	0.00000	0.000000	84	0	84	12600
298	0.28000	0.012600	0.00000	0.000000	84	0	84	12600
3	0.27667	0.012450	0.00000	0.000000	83	0	83	12450
316	0.27333	0.012300	0.00000	0.000000	82	0	82	12300
918	0.27000	0.012150	0.00000	0.000000	81	0	81	12150
562	0.27000	0.012150	0.00000	0.000000	81	0	81	12150
4	0.26667	0.012000	0.00000	0.000000	80	0	80	12000
36	0.26667	0.012000	0.00000	0.000000	80	0	80	12000
13	0.26667	0.012000	0.00000	0.000000	80	0	80	12000
826	0.26000	0.011700	0.00000	0.000000	78	0	78	11700
575	0.26000	0.011700	0.00000	0.000000	78	0	78	11700
950	0.25667	0.011550	0.00000	0.000000	77	0	77	11550
77	0.25667	0.011550	0.00000	0.000000	77	0	77	11550
415	0.25667	0.011550	0.00000	0.000000	77	0	77	11550
166	0.25667	0.011550	0.00000	0.000000	77	0	77	11550
984	0.25333	0.011400	0.00000	0.000000	76	0	76	11400
225	0.25000	0.011250	0.00000	0.000000	75	0	75	11250
659	0.24667	0.011100	0.00000	0.000000	74	0	74	11100
307	0.24667	0.011100	0.00000	0.000000	74	0	74	11100
998	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
866	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
669	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
521	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
416	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
206	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
173	0.24333	0.010950	0.00000	0.000000	73	0	73	10950
960	0.24000	0.010800	0.00000	0.000000	72	0	72	10800
196	0.24000	0.010800	0.00000	0.000000	72	0	72	10800
905	0.23667	0.010650	0.00000	0.000000	71	0	71	10650
965	0.23000	0.010350	0.00000	0.000000	69	0	69	10350
501	0.22667	0.010200	0.00000	0.000000	68	0	68	10200
329	0.22667	0.010200	0.00000	0.000000	68	0	68	10200
832	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
360	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
302	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
246	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
642	0.22000	0.009900	0.00000	0.000000	66	0	66	9900
609	0.22000	0.009900	0.00000	0.000000	66	0	66	9900
228	0.21667	0.009750	0.00000	0.000000	65	0	65	9750
128	0.21667	0.009750	0.00000	0.000000	65	0	65	9750
848	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
580	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
597	0.21000	0.009450	0.00000	0.000000	63	0	63	9450
