read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
read201,717,1,1,108,108,108,108,108,0,1.0,mapped_high
read202,718,1,1,108,108,108,108,108,0,1.0,mapped_high
read203,719,1,1,108,108,108,108,108,0,1.0,mapped_high
read204,720,1,1,108,108,108,108,108,0,1.0,mapped_high
read205,721,1,1,108,108,108,108,108,0,1.0,mapped_high
read206,722,1,1,108,108,108,108,108,0,1.0,mapped_high
read207,723,1,1,108,108,108,108,108,0,1.0,mapped_high
read208,724,1,1,108,108,108,108,108,0,1.0,mapped_high
read209,725,1,1,108,108,108,108,108,0,1.0,mapped_high
read210,726,1,1,108,108,108,108,108,0,1.0,mapped_high
read211,727,1,1,108,108,108,108,108,0,1.0,mapped_high
read212,728,1,1,108,108,108,108,108,0,1.0,mapped_high
read213,729,1,1,108,108,108,108,108,0,1.0,mapped_high
read214,730,1,1,108,108,108,108,108,0,1.0,mapped_high
read215,731,1,1,108,108,108,108,108,0,1.0,mapped_high
read216,732,1,1,108,108,108,108,108,0,1.0,mapped_high
read217,733,1,1,108,108,108,108,108,0,1.0,mapped_high
read218,734,1,1,108,108,108,108,108,0,1.0,mapped_high
read219,735,1,1,108,108,108,108,108,0,1.0,mapped_high
read220,736,1,1,108,108,108,108,108,0,1.0,mapped_high
read221,737,1,1,108,108,108,108,108,0,1.0,mapped_high
read222,738,1,1,108,108,108,108,108,0,1.0,mapped_high
read223,739,1,1,108,108,108,108,108,0,1.0,mapped_high
read224,740,1,1,108,108,108,108,108,0,1.0,mapped_high
read225,741,1,1,108,108,108,108,108,0,1.0,mapped_high
read226,742,1,1,108,108,108,108,108,0,1.0,mapped_high
read227,743,1,1,108,108,108,108,108,0,1.0,mapped_high
read228,744,1,1,108,108,108,108,108,0,1.0,mapped_high
read229,745,1,1,108,108,108,108,108,0,1.0,mapped_high
read230,746,1,1,108,108,108,108,108,0,1.0,mapped_high
read231,747,1,1,108,108,108,108,108,0,1.0,mapped_high
read232,748,1,1,108,108,108,108,108,0,1.0,mapped_high
read233,749,1,1,108,108,108,108,108,0,1.0,mapped_high
read234,750,1,1,108,108,108,108,108,0,1.0,mapped_high
read235,751,1,1,108,108,108,108,108,0,1.0,mapped_high
read236,752,1,1,108,108,108,108,108,0,1.0,mapped_high
read237,753,1,1,108,108,108,108,108,0,1.0,mapped_high
read238,754,1,1,108,108,108,108,108,0,1.0,mapped_high
read239,755,1,1,108,108,108,108,108,0,1.0,mapped_high
read240,756,1,1,108,108,108,108,108,0,1.0,mapped_high
read241,757,1,1,108,108,108,108,108,0,1.0,mapped_high
read242,758,1,1,108,108,108,108,108,0,1.0,mapped_high
read243,759,1,1,108,108,108,108,108,0,1.0,mapped_high
read244,760,1,1,108,108,108,108,108,0,1.0,mapped_high
read245,761,1,1,108,108,108,108,108,0,1.0,mapped_high
read246,762,1,1,108,108,108,108,108,0,1.0,mapped_high
read247,763,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read248,764,1,1,108,108,108,108,108,0,1.0,mapped_high
read249,765,1,1,108,108,108,108,108,0,1.0,mapped_high
read250,766,1,1,108,108,108,108,108,0,1.0,mapped_high
read251,767,1,1,108,108,108,108,108,0,1.0,mapped_high
read252,1000,1,1,108,108,108,108,108,0,1.0,mapped_high
read253,1,1,1,108,108,108,108,108,0,1.0,mapped_high
read254,2,1,1,108,108,108,108,108,0,1.0,mapped_high
read255,3,1,1,108,108,108,108,108,0,1.0,mapped_high
read256,4,1,1,108,108,108,108,108,0,1.0,mapped_high
read257,5,1,1,108,108,108,108,108,0,1.0,mapped_high
read258,6,1,1,108,108,108,108,108,0,1.0,mapped_high
