#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
935	0.32000	0.028800	0.00000	0.000000	192	0	192	28800
798	0.30333	0.027300	0.00000	0.000000	182	0	182	27300
897	0.29000	0.026100	0.00000	0.000000	174	0	174	26100
350	0.29000	0.026100	0.00000	0.000000	174	0	174	26100
966	0.28667	0.025800	0.00000	0.000000	172	0	172	25800
915	0.28667	0.025800	0.00000	0.000000	172	0	172	25800
724	0.27667	0.024900	0.00000	0.000000	166	0	166	24900
467	0.27000	0.024300	0.00000	0.000000	162	0	162	24300
482	0.26667	0.024000	0.00000	0.000000	160	0	160	24000
930	0.26333	0.023700	0.00000	0.000000	158	0	158	23700
683	0.25000	0.022500	0.00000	0.000000	150	0	150	22500
161	0.25000	0.022500	0.00000	0.000000	150	0	150	22500
621	0.24333	0.021900	0.00000	0.000000	146	0	146	21900
30	0.24167	0.021750	0.00000	0.000000	145	0	146	21900
685	0.23667	0.021300	0.00000	0.000000	142	0	142	21300
730	0.23333	0.021000	0.00000	0.000000	140	0	140	21000
36	0.23333	0.021000	0.00000	0.000000	140	0	140	21000
776	0.23000	0.020700	0.00000	0.000000	138	0	138	20700
135	0.23000	0.020700	0.00000	0.000000	138	0	138	20700
63	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
240	0.22667	0.020400	0.00000	0.000000	136	0	136	20400
234	0.22500	0.020250	0.00000	0.000000	135	0	138	20700
951	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
892	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
688	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
651	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
383	0.22333	0.020100	0.00000	0.000000	134	0	134	20100
877	0.22000	0.019800	0.00000	0.000000	132	0	132	19800
249	0.22000	0.019800	0.00000	0.000000	132	0	132	19800
767	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
574	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
37	0.21333	0.019200	0.00000	0.000000	128	0	128	19200
