#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
935	0.32000	0.014400	0.00000	0.000000	96	0	96	14400
798	0.30333	0.013650	0.00000	0.000000	91	0	91	13650
897	0.29000	0.013050	0.00000	0.000000	87	0	87	13050
350	0.29000	0.013050	0.00000	0.000000	87	0	87	13050
966	0.28667	0.012900	0.00000	0.000000	86	0	86	12900
915	0.28667	0.012900	0.00000	0.000000	86	0	86	12900
724	0.27667	0.012450	0.00000	0.000000	83	0	83	12450
467	0.27000	0.012150	0.00000	0.000000	81	0	81	12150
482	0.26667	0.012000	0.00000	0.000000	80	0	80	12000
930	0.26333	0.011850	0.00000	0.000000	79	0	79	11850
683	0.25000	0.011250	0.00000	0.000000	75	0	75	11250
161	0.25000	0.011250	0.00000	0.000000	75	0	75	11250
30	0.24000	0.010800	0.00000	0.000000	72	0	72	10800
685	0.23667	0.010650	0.00000	0.000000	71	0	71	10650
730	0.23333	0.010500	0.00000	0.000000	70	0	70	10500
36	0.23333	0.010500	0.00000	0.000000	70	0	70	10500
776	0.23000	0.010350	0.00000	0.000000	69	0	69	10350
135	0.23000	0.010350	0.00000	0.000000	69	0	69	10350
63	0.22667	0.010200	0.00000	0.000000	68	0	68	10200
240	0.22667	0.010200	0.00000	0.000000	68	0	68	10200
951	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
892	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
688	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
651	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
621	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
383	0.22333	0.010050	0.00000	0.000000	67	0	67	10050
877	0.22000	0.009900	0.00000	0.000000	66	0	66	9900
249	0.22000	0.009900	0.00000	0.000000	66	0	66	9900
234	0.22000	0.009900	0.00000	0.000000	66	0	66	9900
767	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
574	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
37	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
290	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
283	0.21333	0.009600	0.00000	0.000000	64	0	64	9600
113	0.21000	0.009450	0.00000	0.000000	63	0	63	9450
701	0.20667	0.009300	0.00000	0.000000	62	0	62	9300
604	0.20667	0.009300	0.00000	0.000000	62	0	62	9300
459	0.20667	0.009300	0.00000	0.000000	62	0	62	9300
253	0.20667	0.009300	0.00000	0.000000	62	0	62	9300
781	0.20333	0.009150	0.00000	0.000000	61	0	61	9150
735	0.20333	0.009150	0.00000	0.000000	61	0	61	9150
487	0.20333	0.009150	0.00000	0.000000	61	0	61	9150
3	0.20333	0.009150	0.00000	0.000000	61	0	61	9150
163	0.20333	0.009150	0.00000	0.000000	61	0	61	9150
151	0.20333	0.009150	0.00000	0.000000	61	0	61	9150
859	0.20000	0.009000	0.00000	0.000000	60	0	60	9000
837	0.20000	0.009000	0.00000	0.000000	60	0	60	9000
279	0.20000	0.009000	0.00000	0.000000	60	0	60	9000
802	0.19667	0.008850	0.00000	0.000000	59	0	59	8850
663	0.19667	0.008850	0.00000	0.000000	59	0	59	8850
65	0.19667	0.008850	0.00000	0.000000	59	0	59	8850
380	0.19667	0.008850	0.00000	0.000000	59	0	59	8850
1	0.19667	0.008850	0.00000	0.000000	59	0	59	8850
943	0.19333	0.008700	0.00000	0.000000	58	0	58	8700
570	0.19333	0.008700	0.00000	0.000000	58	0	58	8700
334	0.19333	0.008700	0.00000	0.000000	58	0	58	8700
144	0.19333	0.008700	0.00000	0.000000	58	0	58	8700
998	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
910	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
795	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
762	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
759	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
593	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
194	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
193	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
133	0.19000	0.008550	0.00000	0.000000	57	0	57	8550
983	0.18667	0.008400	0.00000	0.000000	56	0	56	8400
893	0.18667	0.008400	0.00000	0.000000	56	0	56	8400
734	0.18667	0.008400	0.00000	0.000000	56	0	56	8400
625	0.18667	0.008400	0.00000	0.000000	56	0	56	8400
