read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
Read000000600,538,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000601,538,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000602,538,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000603,538,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000604,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000605,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000606,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000607,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000608,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000609,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000610,538,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000611,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000612,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000613,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000614,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000615,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000616,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000617,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000618,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000619,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000620,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000621,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000622,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000623,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000624,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000625,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000626,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000627,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000628,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000629,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000630,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000631,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000632,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000633,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000634,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000635,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000636,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000637,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000638,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000639,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000640,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000641,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000642,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000643,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000644,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000645,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000646,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000647,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000648,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000649,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000650,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000651,539,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000652,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000653,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000654,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000655,539,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000656,539,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000657,539,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000658,539,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000659,539,1,1,108,108,150,108,108,2,0.9814814814814815,mapped_high
Read000000660,539,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000661,539,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
